[MJ2006] J234251.6-032555.5                   23.7143 -2.56778
[TSW99]  172.000                              12.6127 62.1993
[TSW99]  173.000                              12.6127 62.2118
[TSW99]  174.000                              12.6127 62.1998
[TSW99]  175.000                              12.6127 62.2038
[TSW99]  176.000                              12.6127 62.2063
[TSW99]  177.000                              12.6127 62.1974
[TSW99]  178.000                              12.6127 62.2117
[TSW99]  179.000                              12.6127 62.2107
[TSW99]  180.000                              12.6127 62.199
[TSW99]  181.000                              12.6127 62.2103
[PVK2003] 000.18144 +14.52487                 0.0120972 14.5249
[TSW99]  182.000                              12.6127 62.195
[PVK2003] 000.18220 -10.42261                 0.0121472 -9.57739
[TSW99]  183.000                              12.6127 62.2106
[TSW99]  185.000                              12.6128 62.2079
[TSW99]  186.000                              12.6128 62.2107
[TSW99]  187.000                              12.6128 62.2088
[TSW99]  188.000                              12.6128 62.1971
[TSW99]  190.000                              12.6128 62.2049
[TSW99]  191.000                              12.6128 62.2066
[TSW99]  192.000                              12.6128 62.2076
[TSW99]  193.000                              12.6128 62.2074
[TSW99]  194.000                              12.6128 62.2105
[TSW99]  195.000                              12.6128 62.2076
[TSW99]  196.000                              12.6128 62.2102
[TSW99]  198.000                              12.6128 62.195
[TSW99]  198.100                              12.6128 62.195
[TSW99]  198.200                              12.6128 62.1958
[TSW99]  199.000                              12.6128 62.2098
[TSW99]  200.000                              12.6128 62.1987
[TSW99]  201.000                              12.6128 62.208
[TSW99]  201.100                              12.6129 62.2079
[TSW99]  201.200                              12.6128 62.2081
[TSW99]  202.000                              12.6129 62.2093
[TSW99]  203.000                              12.6129 62.2063
[TSW99]  204.000                              12.6129 62.1999
[TSW99]  205.000                              12.6129 62.211
[TSW99]  206.000                              12.6129 62.2083
[TSW99]  207.000                              12.6129 62.2069
[TSW99]  208.000                              12.6129 62.2044
[TSW99]  209.000                              12.6129 62.2013
[TSW99]  210.000                              12.6129 62.1962
[TSW99]  211.000                              12.6129 62.2078
[TSW99]  213.000                              12.6129 62.196
[TSW99]  215.000                              12.6129 62.2043
[TSW99]  217.000                              12.6129 62.2103
[TSW99]  218.000                              12.6129 62.2005
[TSW99]  221.000                              12.613 62.2002
[TSW99]  223.000                              12.613 62.1958
[TSW99]  224.000                              12.613 62.1959
[TSW99]  225.000                              12.613 62.2045
[TSW99]  226.000                              12.613 62.2049
[TSW99]  229.000                              12.613 62.2095
[TSW99]  230.000                              12.613 62.1982
[TSW99]  232.000                              12.613 62.2026
[TSW99]  233.000                              12.613 62.2098
[TSW99]  236.000                              12.6131 62.2064
[TSW99]  237.000                              12.6131 62.2015
[TSW99]  238.000                              12.613 62.1989
[TSW99]  239.000                              12.6131 62.2074
[TSW99]  241.000                              12.6131 62.2024
[TSW99]  243.000                              12.6131 62.1997
[TSW99]  244.000                              12.6131 62.2086
[TSW99]  244.100                              12.6131 62.2086
[PVK2003] 000.24431 +14.54463                 0.0162861 14.5446
[TSW99]  245.000                              12.6132 62.2044
[TSW99]  246.000                              12.6132 62.2002
[TSW99]  247.000                              12.6132 62.2023
[TSW99]  248.000                              12.6132 62.1999
[TSW99]  249.000                              12.6132 62.2031
[TSW99]  250.000                              12.6132 62.2039
[TSW99]  252.000                              12.6132 62.1981
[TSW99]  253.000                              12.6132 62.2091
[TSW99]  254.000                              12.6132 62.209
[TSW99]  255.000                              12.6132 62.2025
[TSW99]  257.000                              12.6132 62.2061
[TSW99]  258.000                              12.6132 62.2023
[TSW99]  259.000                              12.6132 62.2054
[TSW99]  260.000                              12.6133 62.2026
[TSW99]  262.000                              12.6133 62.2038
[TSW99]  263.000                              12.6133 62.2036
[TSW99]  264.000                              12.6133 62.2015
[PVK2003] 000.26499 +14.58019                 0.0176667 14.5802
[TSW99]  266.000                              12.6133 62.2073
[TSW99]  268.000                              12.6134 62.2066
[TSW99]  269.000                              12.6134 62.2023
[TSW99]  270.000                              12.6133 62.2062
[TSW99]  271.000                              12.6134 62.2062
[TSW99]  272.000                              12.6134 62.2077
[TSW99]  273.000                              12.6134 62.2063
[TSW99]  274.000                              12.6134 62.2048
[TSW99]  275.000                              12.6134 62.2025
[TSW99]  276.000                              12.6135 62.2075
[TSW99]  277.000                              12.6135 62.2041
[TSW99]  277.110                              12.6134 62.2038
[TSW99]  277.200                              12.6135 62.2044
[TSW99]  277.210                              12.6135 62.2044
[TSW99]  277.211                              12.6135 62.2045
[TSW99]  278.000                              12.6135 62.2023
[TSW99]  279.000                              12.6135 62.2074
[TSW99]  280.000                              12.6135 62.2011
[TSW99]  281.000                              12.6135 62.2022
[TSW99]  282.000                              12.6135 62.2073
[TSW99]  283.000                              12.6135 62.2053
[TSW99]  284.000                              12.6135 62.2036
[TSW99]  285.000                              12.6136 62.2056
[TSW99]  286.000                              12.6136 62.2024
[TSW99]  287.000                              12.6136 62.2046
[TSW99]  288.000                              12.6136 62.2023
[TSW99]  288.100                              12.6136 62.2022
[TSW99]  290.000                              12.6137 62.2056
[TSW99]  291.000                              12.6137 62.2029
[TSW99]  292.000                              12.6137 62.204
[TSW99]  293.000                              12.6137 62.2063
[TSW99]  294.000                              12.6138 62.2033
[TSW99]  295.000                              12.6138 62.2056
[TSW99]  297.000                              12.6138 62.2039
[TSW99]  299.000                              12.6139 62.2044
[TSW99]  300.000                              12.6139 62.2046
[TSW99]  301.000                              12.6139 62.2048
[TSW99]  302.000                              12.6139 62.2047
[TSW99]  302.100                              12.6139 62.2047
[TSW99]  302.200                              12.6139 62.2045
[TSW99]  303.000                              12.614 62.205
